subscriber_id,customer_id,dealer_code,plan_code,join_date,churn_date
S-70448,C-23683,DLR-03,PLN-T05,03/22/2025,09/26/2025
S-70449,C-23684,DLR-05,PLN-S300,03/10/2022,04/10/2022
S-70450,C-23685,DLR-04,PLN-T13,12/02/2025,
S-70451,C-23686,DLR-03,PLN-B40,01/21/2025,06/22/2025
S-70452,C-23687,DLR-08,PLN-T14,09/06/2025,
S-70453,C-23688,DLR-5,PLN-S200,07/15/2025,
S-70454,C-23689,DLR-05,PLN-B60,01/14/2023,
S-70455,C-23689,DLR-05,PLN-T16,08/30/2023,
S-70456,C-23689,DLR-08,PLN-S100,12/02/2023,
S-70457,C-23690,DLR-03,PLN-FAM,06/09/2025,
S-70458,C-23691,DLR-03,PLN-FAM,08/23/2021,07/19/2022
S-70459,C-23691,DLR-10,PLN-YTH,09/26/2021,
S-70460,C-23692,DLR-01,PLN-S100,01/18/2022,
S-70461,C-23692,DLR-06,PLN-T11,04/11/2022,
S-70462,C-23692,DLR-09,PLN-U69,09/29/2022,02/08/2024
S-70463,C-23692,DLR-01,PLN-T04,12/08/2022,
S-70464,C-23693,DLR-01,PLN-S200,03/15/2025,
S-70465,C-23694,DLR-01,PLN-S100,03/31/2023,
S-70466,C-23694,DLR-04,PLN-T03,08/31/2024,
S-70467,C-23695,DLR-05,PLN-B60,02/16/2025,
S-70468,C-23696,DLR-05,PLN-T21,01/23/2025,
S-70469,C-23697,DLR-10,PLN-SNR,08/20/2023,
S-70470,C-23697,DLR-04,PLN-SNR,12/25/2023,
S-70471,C-23697,DLR-01 ,PLN-S100,03/19/2024,
S-70472,C-23697,DLR-01,PLN-T12,11/04/2024,
S-70473,C-23698,DLR-04,PLN-S100,12/08/2025,
S-70474,C-23699,DLR-01,PLN-U69,04/16/2022,09/07/2022
S-70475,C-23699,DLR-01,PLN-UMAX,06/18/2023,
S-70476,C-23700,DLR-01,PLN-S100,09/21/2025,
S-70477,C-23701,DLR-09,PLN-T18,04/25/2022,01/02/2025
S-70478,C-23702,DLR-05,PLN-S200,07/13/2024,04/08/2025
S-70479,C-23703,DLR-09,PLN-S100,03/18/2025,
S-70480,C-23704,DLR-01,PLN-YTH,03/26/2022,07/16/2024
S-70481,C-23705,DLR-5,PLN-T05,07/15/2024,
S-70482,C-23705,DLR-08,PLN-S300,08/05/2025,
S-70483,C-23705,DLR-09,PLN-U69,02/18/2025,
S-70484,C-23706,DLR-08,PLN-U69,04/18/2024,09/05/2025
S-70485,C-23707,DLR-04,PLN-S200,10/30/2023,
S-70486,C-23708,DLR-03,PLN-YTH,10/05/2024,
S-70487,C-23708,DLR-03,PLN-S100,04/01/2025,10/29/2025
S-70488,C-23708,DLR-03,PLN-U69,05/04/2025,
S-70489,C-23709,DLR-09,PLN-T10,09/19/2025,
S-70490,C-23710,DLR-09 ,PLN-U69,01/23/2024,
S-70491,C-23711,DLR-10,PLN-SNR,03/25/2021,03/08/2022
S-70492,C-23712,DLR-2,PLN-S100,09/02/2024,10/04/2024
S-70493,C-23713,DLR-01,PLN-S300,06/12/2025,
S-70494,C-23713,DLR-6,PLN-B60,07/29/2025,
S-70495,C-23714,DLR-03,PLN-T20,07/29/2024,05/23/2025
S-70496,C-23715,DLR-05,PLN-T20,11/07/2021,03/16/2024
S-70497,C-23715,DLR-06,PLN-T11,01/19/2022,
S-70498,C-23715,DLR-01 ,PLN-B40,01/20/2023,04/24/2024
S-70499,C-23716,DLR-07,PLN-T12,04/15/2022,02/14/2024
S-70500,C-23716,DLR-01,PLN-U69,05/28/2023,
S-70501,C-23716,DLR-03,PLN-B60,02/16/2023,09/12/2024
S-70502,C-23716,DLR-10,PLN-S100,09/01/2023,
S-70503,C-23717,DLR-01,PLN-U69,08/20/2025,
S-70504,C-23718,DLR-09,PLN-U69,06/17/2025,
S-70505,C-23719,DLR-09,PLN-S100,11/05/2022,01/20/2024
S-70506,C-23720,dlr-10,PLN-U69,12/07/2023,
S-70507,C-23721,DLR-02,PLN-S200,06/08/2024,05/13/2025
S-70508,C-23721,DLR-01,PLN-SNR,10/14/2025,
S-70509,C-23722,DLR-03,PLN-T19,03/31/2023,01/30/2024
S-70510,C-23723,DLR-04,PLN-B60,04/18/2025,
S-70511,C-23724,DLR-01,PLN-U69,05/04/2024,
S-70512,C-23725,DLR-02,PLN-SNR,05/21/2025,
S-70513,C-23726,dlr-01,PLN-T23,10/29/2024,
S-70514,C-23726,DLR-08,PLN-B60,10/03/2025,
S-70515,C-23726,DLR-02,PLN-SNR,01/29/2025,
S-70516,C-23726,dlr-06,PLN-S200,09/11/2025,
S-70517,C-23727,DLR-09,PLN-S100,12/16/2023,
S-70518,C-23728,DLR-09,PLN-FAM,10/23/2025,
S-70519,C-23729,DLR-05,PLN-S200,08/01/2025,
S-70520,C-23729,DLR-07,PLN-S300,11/18/2025,
S-70521,C-23729,DLR-03,PLN-UMAX,10/05/2025,
S-70522,C-23730,DLR-06,PLN-T06,08/13/2025,
S-70523,C-23730,DLR-02,PLN-S100,10/27/2025,
S-70524,C-23730,DLR-03,PLN-SNR,12/27/2025,
S-70525,C-23731,DLR-01,PLN-YTH,01/21/2024,12/21/2025
S-70526,C-23731,DLR-01,PLN-T11,11/29/2024,
S-70527,C-23731,DLR-05,PLN-T16,02/17/2024,
S-70528,C-23732,DLR-09,PLN-U69,01/29/2024,12/22/2025
S-70529,C-23732,DLR-10,PLN-S100,04/04/2024,10/28/2024
S-70530,C-23733,DLR-01,PLN-B40,03/23/2022,
S-70531,C-23734,DLR-02,PLN-S200,08/26/2022,06/22/2025
S-70532,C-23735,DLR-09,PLN-S100,05/05/2025,
S-70533,C-23735,DLR-09,PLN-S100,07/17/2025,
S-70534,C-23736,dlr-09,PLN-B60,07/24/2021,04/14/2023
S-70535,C-23737,DLR-03,PLN-SNR,08/21/2025,
S-70536,C-23737,DLR-01,PLN-SNR,10/22/2025,
S-70537,C-23738,DLR-03,PLN-YTH,12/23/2025,
S-70538,C-23739,DLR-02,PLN-S100,11/26/2022,
S-70539,C-23740,DLR-10,PLN-S100,08/18/2025,
S-70540,C-23741,DLR-04 ,PLN-T18,06/01/2021,11/16/2023
S-70541,C-23742,DLR-03,PLN-S100,01/14/2024,
S-70542,C-23743,DLR-02,PLN-S100,06/24/2024,
S-70543,C-23744,DLR-08,PLN-UMAX,11/08/2025,
S-70544,C-23745,DLR-03,PLN-S100,10/05/2025,
S-70545,C-23746,DLR-09,PLN-S200,09/15/2025,
S-70546,C-23747,DLR-06 ,PLN-UMAX,06/07/2023,08/30/2024
S-70547,C-23748,DLR-01,PLN-S100,04/25/2024,08/11/2025
S-70548,C-23749,DLR-08,PLN-FAM,08/13/2024,02/07/2025
S-70549,C-23750,DLR-02,PLN-UMAX,05/01/2022,09/23/2022
S-70550,C-23750,DLR-02,PLN-B40,11/19/2022,
S-70551,C-23751,DLR-02,PLN-S200,03/17/2025,
S-70552,C-23751,DLR-03,PLN-B60,04/25/2025,09/02/2025
S-70553,C-23752,DLR-9,PLN-T24,10/13/2024,
S-70554,C-23752,DLR-09,PLN-T09,03/24/2025,
S-70555,C-23753,DLR-09 ,PLN-S200,09/01/2021,
S-70556,C-23753,DLR-04,PLN-FAM,02/05/2023,
S-70557,C-23753,DLR-01,PLN-B60,04/10/2022,
S-70558,C-23754,DLR-9,PLN-S200,03/03/2022,10/29/2022
S-70559,C-23755,dlr-03,PLN-S200,08/26/2025,
S-70560,C-23756,DLR-06,PLN-SNR,01/10/2024,
S-70561,C-23757,DLR-03,PLN-YTH,12/20/2024,01/31/2025
S-70562,C-23758,DLR-03,PLN-YTH,04/04/2025,11/10/2025
S-70563,C-23759,DLR-02,PLN-T11,07/22/2023,08/09/2025
S-70564,C-23760,DLR-02 ,PLN-T23,11/02/2025,
S-70565,C-23761,DLR-09,PLN-S100,01/27/2025,
S-70566,C-23762,DLR-03,PLN-U69,11/10/2025,
S-70567,C-23763,DLR-01 ,PLN-SNR,02/25/2024,
S-70568,C-23764,DLR-03,PLN-S100,03/30/2023,05/06/2025
S-70569,C-23765,DLR-03,PLN-S200,09/10/2025,
S-70570,C-23766,DLR-06,PLN-UMAX,08/08/2023,
S-70571,C-23766,DLR-01,PLN-T23,03/15/2024,11/05/2025
S-70572,C-23767,DLR-10,PLN-S200,06/04/2023,
S-70573,C-23767,DLR-04,PLN-B40,10/16/2023,
S-70574,C-23767,DLR-01,PLN-SNR,07/05/2024,
S-70575,C-23768,DLR-06,PLN-B60,03/26/2024,11/15/2025
S-70576,C-23769,DLR-05,PLN-S100,10/14/2021,09/13/2024
S-70577,C-23769,DLR-09,PLN-UMAX,04/05/2023,
S-70578,C-23770,DLR-04,PLN-S300,09/04/2025,
S-70579,C-23771,dlr-07,PLN-B60,08/12/2025,
S-70580,C-23772,DLR-03,PLN-S300,01/01/2022,09/17/2023
S-70581,C-23773,DLR-02,PLN-T21,01/27/2024,12/28/2025
S-70582,C-23774,DLR-10,PLN-S100,08/08/2022,
S-70583,C-23774,DLR-02,PLN-S200,11/14/2023,
S-70584,C-23774,DLR-09,PLN-S100,01/17/2024,
S-70585,C-23775,DLR-10,PLN-U69,09/23/2021,
S-70586,C-23776,DLR-07,PLN-YTH,03/27/2022,06/22/2023
S-70587,C-23777,dlr-09,PLN-T20,12/20/2023,08/22/2024
S-70588,C-23777,DLR-02,PLN-YTH,12/19/2024,
S-70589,C-23778,dlr-09,PLN-S100,08/16/2023,
S-70590,C-23779,DLR-01,PLN-U69,03/14/2025,
S-70591,C-23780,DLR-01 ,PLN-B40,06/13/2023,01/16/2025
S-70592,C-23781,dlr-02,PLN-B60,05/19/2022,
S-70593,C-23781,DLR-09,PLN-T24,09/14/2022,09/25/2023
S-70594,C-23782,DLR-04,PLN-B40,09/19/2024,
S-70595,C-23783,DLR-07,PLN-UMAX,01/21/2023,09/01/2023
S-70596,C-23784,DLR-09,PLN-S200,12/21/2023,
S-70597,C-23784,DLR-07,PLN-U69,05/01/2024,
S-70598,C-23784,DLR-02,PLN-T24,10/13/2024,
S-70599,C-23784,DLR-04,PLN-UMAX,10/17/2024,
S-70600,C-23785,DLR-03,PLN-B40,11/11/2025,
S-70601,C-23786,DLR-01,PLN-T17,05/08/2025,
S-70602,C-23787,DLR-09,PLN-S100,01/01/2024,02/13/2025
S-70603,C-23788,DLR-03,PLN-UMAX,09/11/2023,
S-70604,C-23788,DLR-07,PLN-T12,06/02/2024,
S-70605,C-23789,DLR-03,PLN-T25,04/13/2025,10/03/2025
S-70606,C-23790,DLR-5,PLN-YTH,02/05/2023,
S-70607,C-23791,DLR-06,PLN-YTH,03/21/2025,
S-70608,C-23792,DLR-10,PLN-T21,05/17/2022,01/30/2023
S-70609,C-23793,DLR-03,PLN-S200,03/28/2022,12/08/2024
S-70610,C-23794,DLR-02,PLN-U69,04/07/2025,
S-70611,C-23794,DLR-01,PLN-UMAX,10/12/2025,
S-70612,C-23794,DLR-07,PLN-S200,11/02/2025,
S-70613,C-23795,DLR-05,PLN-B60,07/31/2024,
S-70614,C-23796,DLR-08,PLN-U69,01/16/2022,07/23/2022
S-70615,C-23796,dlr-09,PLN-S200,10/31/2022,
S-70616,C-23797,DLR-03,PLN-S200,01/17/2023,
S-70617,C-23798,DLR-03,PLN-T22,06/23/2021,08/29/2023
S-70618,C-23799,DLR-10,PLN-B60,04/19/2023,
S-70619,C-23800,DLR-05,PLN-S100,07/03/2025,
S-70620,C-23801,DLR-01,PLN-T01,05/14/2024,
S-70621,C-23802,DLR-02,PLN-FAM,09/30/2025,
S-70622,C-23802,DLR-08,PLN-T18,12/29/2025,
S-70623,C-23803,DLR-08,PLN-T17,10/04/2022,08/01/2023
S-70624,C-23804,DLR-03,PLN-B60,05/21/2025,11/20/2025
S-70625,C-23805,dlr-03,PLN-S200,05/23/2025,
S-70626,C-23806,dlr-03,PLN-B60,11/25/2021,06/25/2022
S-70627,C-23806,DLR-10,PLN-FAM,07/01/2022,
S-70628,C-23806,DLR-01,PLN-FAM,06/08/2022,
S-70629,C-23807,DLR-03,PLN-S300,04/17/2023,
S-70630,C-23807,DLR-09,PLN-UMAX,12/08/2023,05/23/2025
S-70631,C-23808,DLR-01,PLN-T09,06/23/2022,01/13/2023
S-70632,C-23808,DLR-09,PLN-T24,10/19/2023,
S-70633,C-23809,DLR-03,PLN-S200,04/07/2022,06/22/2022
S-70634,C-23810,DLR-3,PLN-T24,12/07/2024,12/25/2025
S-70635,C-23811,DLR-01,PLN-T23,03/02/2022,
S-70636,C-23811,DLR-04,PLN-B60,12/29/2022,12/05/2023
S-70637,C-23811,DLR-03,PLN-T02,11/25/2022,
S-70638,C-23811,DLR-3,PLN-T07,04/13/2022,11/20/2025
S-70639,C-23811,DLR-07,PLN-T17,04/21/2023,
S-70640,C-23812,DLR-10,PLN-S200,05/07/2023,
S-70641,C-23813,DLR-01,PLN-U69,02/20/2022,09/25/2022
S-70642,C-23814,DLR-09,PLN-SNR,09/06/2025,
S-70643,C-23815,DLR-03,PLN-YTH,01/23/2022,02/16/2023
S-70644,C-23815,DLR-09,PLN-B60,07/11/2023,
S-70645,C-23815,DLR-07,PLN-T19,10/12/2022,
S-70646,C-23815,DLR-05,PLN-S100,06/07/2022,
S-70647,C-23816,dlr-01,PLN-S200,01/05/2024,04/29/2025
S-70648,C-23817,DLR-03 ,PLN-S100,07/02/2022,
S-70649,C-23817,DLR-03,PLN-T15,09/20/2023,
S-70650,C-23817,DLR-8,PLN-FAM,02/08/2023,
S-70651,C-23817,DLR-10,PLN-B60,10/28/2022,
S-70652,C-23817,DLR-05,PLN-FAM,05/18/2023,
S-70653,C-23818,DLR-06,PLN-S100,03/05/2024,
S-70654,C-23818,DLR-03,PLN-S300,05/23/2025,
S-70655,C-23819,DLR-03,PLN-FAM,05/24/2025,
S-70656,C-23820,dlr-01,PLN-UMAX,05/31/2024,04/04/2025
S-70657,C-23820,DLR-02 ,PLN-SNR,08/20/2024,
S-70658,C-23821,DLR-09,PLN-UMAX,09/19/2024,01/04/2025
S-70659,C-23822,DLR-08,PLN-T04,02/22/2022,05/07/2022
S-70660,C-23823,DLR-3,PLN-S200,03/06/2025,
S-70661,C-23824,DLR-01,PLN-S100,05/21/2024,03/11/2025
S-70662,C-23825,DLR-05,PLN-YTH,05/05/2023,
S-70663,C-23826,DLR-10,PLN-T16,11/07/2023,01/15/2025
S-70664,C-23827,DLR-01,PLN-T17,09/19/2023,12/30/2025
S-70665,C-23828,DLR-03,PLN-UMAX,03/24/2025,10/09/2025
S-70666,C-23829,dlr-08,PLN-S200,07/24/2024,
S-70667,C-23830,DLR-01,PLN-B40,01/27/2024,
S-70668,C-23831,DLR-01,PLN-B40,03/14/2023,
S-70669,C-23831,DLR-03,PLN-S100,06/23/2023,12/28/2025
S-70670,C-23832,DLR-09 ,PLN-FAM,11/09/2022,10/08/2024
S-70671,C-23832,DLR-10,PLN-T25,07/16/2023,
S-70672,C-23833,dlr-07,PLN-FAM,02/10/2025,
S-70673,C-23834,DLR-08,PLN-B40,11/25/2025,
S-70674,C-23835,DLR-06,PLN-U69,09/24/2022,
S-70675,C-23835,DLR-09,PLN-UMAX,10/16/2022,
S-70676,C-23835,DLR-01,PLN-T11,01/16/2023,01/12/2024
S-70677,C-23836,DLR-08,PLN-U69,07/11/2025,
S-70678,C-23837,DLR-05,PLN-S100,09/16/2024,
S-70679,C-23837,DLR-05 ,PLN-S100,04/16/2025,
S-70680,C-23837,DLR-03,PLN-B60,06/09/2025,12/13/2025
S-70681,C-23838,DLR-01,PLN-FAM,05/10/2025,07/31/2025
S-70682,C-23839,DLR-09,PLN-T25,03/23/2025,
S-70683,C-23839,DLR-10,PLN-YTH,06/09/2025,
S-70684,C-23839,DLR-01,PLN-UMAX,11/15/2025,
S-70685,C-23840,DLR-10,PLN-YTH,06/03/2023,
S-70686,C-23840,DLR-09,PLN-S200,10/14/2023,
S-70687,C-23840,DLR-05 ,PLN-SNR,03/19/2024,
S-70688,C-23840,DLR-01,PLN-T05,05/03/2024,
S-70689,C-23841,DLR-07,PLN-SNR,04/09/2024,05/15/2025
S-70690,C-23842,DLR-1,PLN-T09,01/05/2025,
S-70691,C-23842,DLR-03,PLN-SNR,04/20/2025,
S-70692,C-23843,DLR-01,PLN-T14,09/30/2024,
S-70693,C-23843,dlr-09,PLN-S100,07/27/2025,
S-70694,C-23843,DLR-08,PLN-SNR,06/24/2025,
S-70695,C-23844,DLR-02,PLN-T24,02/24/2022,
S-70696,C-23844,DLR-09,PLN-T02,04/26/2022,
S-70697,C-23844,DLR-10,PLN-UMAX,07/09/2022,
S-70698,C-23844,DLR-09,PLN-YTH,07/27/2023,
S-70699,C-23844,DLR-07,PLN-UMAX,08/26/2023,10/21/2024
S-70700,C-23845,DLR-02,PLN-T18,05/20/2024,11/07/2025
S-70701,C-23845,DLR-01,PLN-T14,11/14/2025,
S-70702,C-23846,DLR-02,PLN-T05,03/04/2022,
S-70703,C-23847,DLR-08,PLN-S200,07/29/2022,09/19/2023
S-70704,C-23848,DLR-07,PLN-UMAX,07/07/2024,
S-70705,C-23849,DLR-03,PLN-YTH,06/25/2024,08/02/2024
S-70706,C-23850,DLR-08,PLN-S100,10/04/2022,
S-70707,C-23851,DLR-06,PLN-B60,07/10/2023,
S-70708,C-23852,DLR-06,PLN-S200,06/12/2023,
S-70709,C-23852,DLR-01,PLN-UMAX,06/11/2024,
S-70710,C-23853,DLR-03,PLN-S300,01/01/2025,03/25/2025
S-70711,C-23853,DLR-09,PLN-T09,10/03/2025,
S-70712,C-23854,DLR-09,PLN-S200,05/21/2022,05/08/2024
S-70713,C-23855,DLR-05,PLN-T03,07/16/2024,10/03/2024
S-70714,C-23855,DLR-03,PLN-S300,03/11/2025,12/19/2025
S-70715,C-23855,DLR-02,PLN-S100,12/27/2024,
S-70716,C-23856,DLR-03,PLN-B40,08/17/2022,
S-70717,C-23857,DLR-01,PLN-T09,05/24/2025,
S-70718,C-23858,DLR-09,PLN-B60,10/27/2025,11/14/2025
S-70719,C-23859,DLR-07,PLN-T18,05/22/2024,
S-70720,C-23860,DLR-01,PLN-T05,04/09/2025,
S-70721,C-23861,DLR-09,PLN-UMAX,04/21/2025,
S-70722,C-23861,DLR-10,PLN-S200,07/18/2025,
S-70723,C-23861,DLR-01,PLN-S100,06/24/2025,
S-70724,C-23861,DLR-09,PLN-UMAX,06/28/2025,
S-70725,C-23861,DLR-04,PLN-B60,11/23/2025,
S-70726,C-23862,DLR-09,PLN-B60,10/06/2024,
S-70727,C-23863,DLR-08,PLN-SNR,11/25/2025,
S-70728,C-23864,DLR-07,PLN-YTH,04/03/2024,
S-70729,C-23865,DLR-07,PLN-U69,10/30/2022,
S-70730,C-23865,DLR-02,PLN-T07,04/08/2023,
S-70731,C-23866,DLR-01,PLN-FAM,10/18/2025,
S-70732,C-23867,DLR-01,PLN-B60,05/16/2024,
S-70733,C-23868,DLR-01,PLN-YTH,04/02/2025,
S-70734,C-23869,DLR-09,PLN-UMAX,06/29/2021,02/16/2024
S-70735,C-23870,DLR-03,PLN-FAM,01/31/2023,
S-70736,C-23870,DLR-01,PLN-YTH,04/14/2024,
S-70737,C-23871,DLR-06,PLN-T13,02/17/2021,
S-70738,C-23871,DLR-07,PLN-UMAX,06/09/2022,
S-70739,C-23871,DLR-01,PLN-UMAX,04/19/2022,
S-70740,C-23871,dlr-01,PLN-T25,04/24/2021,
S-70741,C-23871,DLR-03,PLN-S100,03/20/2021,
S-70742,C-23872,dlr-09,PLN-S200,05/05/2024,03/05/2025
S-70743,C-23873,DLR-08,PLN-B60,08/04/2023,12/11/2024
S-70744,C-23874,DLR-02,PLN-S200,07/30/2023,
S-70745,C-23875,DLR-07,PLN-SNR,03/03/2023,
S-70746,C-23875,DLR-01,PLN-FAM,06/10/2023,
S-70747,C-23876,DLR-10,PLN-U69,02/20/2024,
S-70748,C-23876,DLR-09,PLN-T15,03/03/2024,
S-70749,C-23877,DLR-03,PLN-SNR,12/01/2021,
S-70750,C-23877,DLR-09,PLN-T09,03/09/2023,
S-70751,C-23878,DLR-01,PLN-U69,06/03/2023,06/06/2024
S-70752,C-23879,DLR-6,PLN-U69,07/12/2021,12/28/2025
S-70753,C-23879,DLR-9,PLN-SNR,01/21/2022,
S-70754,C-23879,DLR-04,PLN-S200,12/29/2022,
S-70755,C-23879,DLR-01,PLN-T21,01/13/2023,
S-70756,C-23880,DLR-06,PLN-T25,05/15/2022,
S-70757,C-23881,DLR-03,PLN-S300,02/04/2025,
S-70758,C-23882,DLR-03,PLN-FAM,05/21/2023,
S-70759,C-23883,DLR-03,PLN-B60,02/19/2024,
S-70760,C-23884,DLR-07,PLN-FAM,12/24/2024,04/29/2025
S-70761,C-23885,DLR-01,PLN-T17,10/29/2022,
S-70762,C-23886,DLR-10,PLN-UMAX,09/20/2025,
S-70763,C-23887,DLR-01,PLN-T16,02/01/2025,
S-70764,C-23887,DLR-04,PLN-YTH,09/17/2025,
S-70765,C-23887,DLR-03,PLN-S200,04/06/2025,
S-70766,C-23887,DLR-09,PLN-T09,04/01/2025,
S-70767,C-23888,DLR-09,PLN-B60,07/10/2025,
S-70768,C-23889,DLR-03,PLN-S200,09/13/2025,
S-70769,C-23890,DLR-09,PLN-S200,06/30/2025,
S-70770,C-23891,DLR-01,PLN-S300,07/22/2024,04/13/2025
S-70771,C-23891,DLR-03,PLN-YTH,05/26/2025,
S-70772,C-23891,DLR-06,PLN-SNR,05/13/2025,
S-70773,C-23892,DLR-07,PLN-T07,12/15/2023,10/05/2025
S-70774,C-23893,DLR-05,PLN-YTH,05/12/2023,12/08/2024
S-70775,C-23894,DLR-10,PLN-T04,12/20/2024,
S-70776,C-23894,DLR-10,PLN-S200,12/08/2025,
S-70777,C-23895,DLR-01,PLN-S100,06/23/2021,08/08/2021
S-70778,C-23896,DLR-01,PLN-S100,09/13/2024,
S-70779,C-23897,DLR-03,PLN-YTH,02/01/2025,
S-70780,C-23898,DLR-05,PLN-S100,04/12/2025,
S-70781,C-23898,DLR-06,PLN-S300,10/09/2025,
S-70782,C-23899,DLR-09,PLN-S200,08/11/2023,
S-70783,C-23900,DLR-03,PLN-UMAX,09/22/2023,
S-70784,C-23900,DLR-03,PLN-YTH,02/05/2025,11/17/2025
S-70785,C-23900,DLR-3,PLN-T09,11/16/2023,
S-70786,C-23900,dlr-03,PLN-U69,01/05/2024,
S-70787,C-23900,DLR-01,PLN-FAM,05/05/2024,
S-70788,C-23901,DLR-02,PLN-T05,02/19/2023,12/29/2023
S-70789,C-23901,DLR-09,PLN-YTH,02/21/2024,
S-70790,C-23902,DLR-10,PLN-FAM,06/21/2025,07/09/2025
S-70791,C-23903,DLR-05 ,PLN-YTH,04/02/2021,01/19/2022
S-70792,C-23903,DLR-09,PLN-S200,10/06/2021,
S-70793,C-23903,DLR-08,PLN-T25,11/09/2021,
S-70794,C-23904,DLR-10 ,PLN-U69,06/09/2023,01/03/2024
S-70795,C-23905,DLR-02,PLN-B40,10/18/2022,
S-70796,C-23906,DLR-04,PLN-S300,12/21/2025,
S-70797,C-23907,DLR-09,PLN-B60,06/21/2024,
S-70798,C-23907,DLR-03,PLN-T22,09/03/2024,
S-70799,C-23908,DLR-01,PLN-YTH,06/27/2023,
S-70800,C-23909,DLR-03,PLN-UMAX,12/17/2023,
S-70801,C-23910,DLR-01 ,PLN-T09,07/30/2023,
S-70802,C-23910,DLR-03,PLN-B60,05/27/2024,08/01/2025
S-70803,C-23911,dlr-09,PLN-S300,01/30/2024,11/22/2024
S-70804,C-23911,DLR-04,PLN-T05,04/09/2024,
S-70805,C-23911,DLR-03,PLN-YTH,03/25/2024,
S-70806,C-23911,DLR-03,PLN-UMAX,03/30/2025,
S-70807,C-23911,DLR-09,PLN-SNR,03/20/2024,
S-70808,C-23912,DLR-10,PLN-UMAX,04/30/2023,10/26/2023
S-70809,C-23912,DLR-06,PLN-YTH,06/08/2023,
S-70810,C-23913,DLR-03,PLN-B40,07/04/2023,
S-70811,C-23914,DLR-06 ,PLN-SNR,11/07/2023,
S-70812,C-23915,DLR-07 ,PLN-B60,03/16/2025,07/29/2025
S-70813,C-23916,DLR-06,PLN-T02,12/22/2021,
S-70814,C-23917,DLR-03,PLN-S100,06/20/2025,
S-70815,C-23918,DLR-07,PLN-B40,07/16/2021,06/17/2023
S-70816,C-23918,DLR-07,PLN-FAM,09/20/2021,
S-70817,C-23919,DLR-04,PLN-S100,04/11/2024,11/03/2025
S-70818,C-23920,DLR-04 ,PLN-S200,02/24/2022,
S-70819,C-23921,DLR-07,PLN-S200,11/24/2023,11/14/2024
S-70820,C-23922,DLR-02,PLN-U69,02/22/2024,
S-70821,C-23923,DLR-04,PLN-B60,10/04/2024,
S-70822,C-23924,DLR-01 ,PLN-S100,06/23/2024,
S-70823,C-23925,DLR-07,PLN-U69,08/16/2024,05/18/2025
S-70824,C-23926,DLR-01,PLN-T15,11/02/2023,
S-70825,C-23926,DLR-07,PLN-T20,04/03/2024,
S-70826,C-23927,DLR-09,PLN-SNR,08/04/2024,
S-70827,C-23927,DLR-04,PLN-T02,07/16/2025,
S-70828,C-23927,DLR-03,PLN-YTH,12/21/2024,
S-70829,C-23928,DLR-07,PLN-S200,10/29/2023,
S-70830,C-23929,DLR-06 ,PLN-S200,02/10/2023,03/21/2023
S-70831,C-23929,DLR-01,PLN-FAM,11/11/2023,
S-70832,C-23930,DLR-04,PLN-B60,08/27/2025,
S-70833,C-23930,DLR-01,PLN-YTH,12/11/2025,
S-70834,C-23931,DLR-01,PLN-B40,06/10/2025,
S-70835,C-23932,DLR-06,PLN-B60,07/21/2025,09/26/2025
S-70836,C-23933,DLR-1,PLN-S200,02/26/2023,09/21/2025
S-70837,C-23933,DLR-03,PLN-B60,08/05/2023,
S-70838,C-23934,DLR-3,PLN-S100,02/08/2025,07/15/2025
S-70839,C-23935,DLR-03,PLN-S200,03/14/2022,08/14/2023
S-70840,C-23935,DLR-09,PLN-UMAX,07/11/2022,
S-70841,C-23936,DLR-03,PLN-S100,11/28/2021,12/24/2022
S-70842,C-23937,DLR-10 ,PLN-YTH,10/28/2025,
S-70843,C-23938,DLR-07,PLN-U69,01/03/2025,
S-70844,C-23939,DLR-02,PLN-B40,10/17/2025,
S-70845,C-23940,DLR-03,PLN-S200,09/19/2023,
S-70846,C-23940,DLR-03,PLN-B60,01/05/2025,
S-70847,C-23940,DLR-04,PLN-T07,06/01/2024,
S-70848,C-23940,DLR-03,PLN-B60,02/26/2025,09/19/2025
S-70849,C-23940,DLR-03,PLN-T04,10/31/2024,
S-70850,C-23941,DLR-03,PLN-S200,04/23/2025,09/25/2025
S-70851,C-23942,DLR-07,PLN-YTH,05/27/2023,10/06/2025
S-70852,C-23942,DLR-09,PLN-T20,09/15/2024,
S-70853,C-23942,DLR-05,PLN-S100,06/23/2023,
S-70854,C-23942,DLR-08,PLN-U69,11/15/2023,
S-70855,C-23943,DLR-03 ,PLN-T08,04/03/2024,12/13/2025
S-70856,C-23943,DLR-05,PLN-SNR,09/20/2025,
S-70857,C-23944,DLR-01,PLN-S200,05/04/2025,
S-70858,C-23945,DLR-07,PLN-UMAX,08/07/2023,
S-70859,C-23946,DLR-02,PLN-T10,02/26/2025,
S-70860,C-23946,DLR-04,PLN-B60,10/05/2025,
S-70861,C-23947,DLR-01,PLN-UMAX,12/23/2024,01/05/2025
S-70862,C-23948,DLR-08,PLN-S100,05/15/2024,
S-70863,C-23949,DLR-09,PLN-T19,02/19/2023,04/09/2024
S-70864,C-23950,DLR-01,PLN-S300,09/02/2024,
S-70865,C-23951,DLR-03,PLN-YTH,04/02/2024,
S-70866,C-23952,DLR-04,PLN-B40,11/30/2023,
S-70867,C-23952,DLR-03,PLN-YTH,08/18/2024,
